Sample	Number Unstable Loci	Number Loci Called	Proportion Unstable Loci	MOSAIC classification	Cancer Type	MSI-PCR Result
TCGA-GV-A6ZA	510	144859	0.00352066492244182	MSS	BLCA	
TCGA-H4-A2HO	1203	244912	0.00491196838047952	MSS	BLCA	
TCGA-H4-A2HQ	915	230733	0.00396562260274863	MSS	BLCA	
TCGA-HQ-A2OE	526	165003	0.00318782082750011	MSS	BLCA	
TCGA-HQ-A2OF	407	128967	0.00315584606914947	MSS	BLCA	
TCGA-HQ-A5ND	546	161500	0.00338080495356037	MSS	BLCA	
TCGA-HQ-A5NE	965	220200	0.00438237965485922	MSS	BLCA	
TCGA-K4-A3WS	938	221114	0.00424215563012745	MSS	BLCA	
TCGA-K4-A3WU	659	179474	0.00367184104661399	MSS	BLCA	
TCGA-K4-A3WV	851	224810	0.00378541879809617	MSS	BLCA	
TCGA-K4-A4AB	1080	230562	0.00468420641736279	MSS	BLCA	
TCGA-K4-A4AC	416	138145	0.00301132867639075	MSS	BLCA	
TCGA-K4-A54R	509	168249	0.00302527801056767	MSS	BLCA	
TCGA-K4-A5RH	1063	242829	0.00437756610618995	MSS	BLCA	
TCGA-K4-A5RI	991	226818	0.00436914177887117	MSS	BLCA	
TCGA-K4-A5RJ	872	229576	0.00379830644318221	MSS	BLCA	
TCGA-K4-A6FZ	1211	242859	0.00498643245669298	MSS	BLCA	
TCGA-K4-A6MB	835	199830	0.00417855176900365	MSS	BLCA	
TCGA-K4-A83P	1246	242006	0.00514863267852863	MSS	BLCA	
TCGA-KQ-A41N	544	158426	0.00343377980886976	MSS	BLCA	
TCGA-KQ-A41O	1088	223509	0.00486781292923327	MSS	BLCA	
TCGA-KQ-A41P	780	192054	0.00406135774313474	MSS	BLCA	
TCGA-KQ-A41Q	624	165379	0.00377315136746503	MSS	BLCA	
TCGA-KQ-A41R	890	204758	0.00434659451645357	MSS	BLCA	
TCGA-KQ-A41S	805	199999	0.00402502012510063	MSS	BLCA	
TCGA-LC-A66R	1157	238841	0.00484422691246478	MSS	BLCA	
TCGA-LT-A5Z6	846	209246	0.00404308803991474	MSS	BLCA	
TCGA-MV-A51V	403	152496	0.00264269226733816	MSS	BLCA	
TCGA-PQ-A6FI	1146	238092	0.00481326546041026	MSS	BLCA	
TCGA-PQ-A6FN	1072	232036	0.00461997276284714	MSS	BLCA	
TCGA-R3-A69X	828	213817	0.00387247038355229	MSS	BLCA	
TCGA-S5-A6DX	1282	254052	0.00504621101191882	MSS	BLCA	
TCGA-UY-A78K	972	228015	0.00426287744227353	MSS	BLCA	
TCGA-UY-A78L	725	186469	0.00388804573414348	MSS	BLCA	
TCGA-UY-A78M	958	207793	0.00461035742301232	MSS	BLCA	
TCGA-UY-A78N	719	164934	0.00435931948536991	MSS	BLCA	
