Sample	Number Unstable Loci	Number Loci Called	Proportion Unstable Loci	MOSAIC classification	Cancer Type	MSI-PCR Result
TCGA-CR-7389	929	213483	0.00435163455638154	MSS	HNSC	
TCGA-CR-7390	854	216860	0.0039380245319561	MSS	HNSC	
TCGA-CR-7391	845	214674	0.00393620093723506	MSS	HNSC	
TCGA-CR-7392	1037	238375	0.00435028841111694	MSS	HNSC	
TCGA-CR-7393	900	217439	0.00413909188324082	MSS	HNSC	
TCGA-CR-7394	750	211858	0.00354010705283728	MSS	HNSC	
TCGA-CR-7395	830	212833	0.00389977118210052	MSS	HNSC	
TCGA-CR-7397	784	216572	0.00362004321888333	MSS	HNSC	
TCGA-CR-7398	808	208015	0.00388433526428383	MSS	HNSC	
TCGA-CR-7399	884	208929	0.00423110243192664	MSS	HNSC	
TCGA-CR-7401	821	219871	0.00373400766813268	MSS	HNSC	
TCGA-CR-7402	917	221906	0.00413238037727686	MSS	HNSC	
TCGA-CR-7404	797	211024	0.00377682159375237	MSS	HNSC	
TCGA-CV-5430	429	192638	0.00222697494782961	MSS	HNSC	
TCGA-CV-5432	424	188197	0.00225295833621152	MSS	HNSC	
TCGA-CV-5434	462	193494	0.00238767093553288	MSS	HNSC	
TCGA-CV-5435	455	203687	0.00223381953683838	MSS	HNSC	
TCGA-CV-5436	493	224392	0.00219704802310243	MSS	HNSC	
TCGA-CV-5966	402	190866	0.00210618968281412	MSS	HNSC	
TCGA-CV-5970	409	193864	0.00210972640614039	MSS	HNSC	
TCGA-CV-6933	689	209753	0.00328481595018903	MSS	HNSC	
TCGA-CV-6934	693	202573	0.0034209889768133	MSS	HNSC	
TCGA-CV-6935	751	200412	0.00374728060195996	MSS	HNSC	
TCGA-CV-6936	692	185492	0.00373061911025812	MSS	HNSC	
TCGA-CV-6937	779	214665	0.00362891016234598	MSS	HNSC	
TCGA-CV-6938	765	210539	0.00363353107975244	MSS	HNSC	
TCGA-CV-6939	720	199731	0.0036048485212611	MSS	HNSC	
TCGA-CV-6940	826	209497	0.00394277722354019	MSS	HNSC	
TCGA-CV-6941	696	191847	0.0036278909756212	MSS	HNSC	
TCGA-CV-6942	764	205268	0.00372196348188709	MSS	HNSC	
TCGA-CV-6943	675	205091	0.00329122194538034	MSS	HNSC	
TCGA-CV-6945	738	202217	0.00364954479593704	MSS	HNSC	
TCGA-CV-6948	731	199838	0.00365796294998949	MSS	HNSC	
TCGA-CV-6950	768	202442	0.00379367917724583	MSS	HNSC	
TCGA-CV-6951	693	192756	0.00359521882587312	MSS	HNSC	
TCGA-CV-6952	686	193703	0.00354150426167896	MSS	HNSC	
