Sample	Number Unstable Loci	Number Loci Called	Proportion Unstable Loci	MOSAIC classification	Cancer Type	MSI-PCR Result
TCGA-EL-A4KG	613	179362	0.00341766929449939	MSS	THCA	
TCGA-EL-A4KH	777	190348	0.0040819971841049	MSS	THCA	
TCGA-EL-A4KI	529	162911	0.00324717176863441	MSS	THCA	
TCGA-EM-A1CS	1019	235832	0.00432087248549815	MSS	THCA	
TCGA-EM-A1CT	1254	267898	0.00468088600885412	MSS	THCA	
TCGA-EM-A1CU	1182	258529	0.00457202093382174	MSS	THCA	
TCGA-EM-A1CV	1062	204481	0.0051936365725911	MSS	THCA	
TCGA-EM-A1CW	1108	261421	0.00423837411684601	MSS	THCA	
TCGA-EM-A1YA	727	203945	0.00356468655765035	MSS	THCA	
TCGA-EM-A1YB	673	205849	0.00326938678351607	MSS	THCA	
TCGA-EM-A22I	602	183780	0.0032756556752639	MSS	THCA	
TCGA-EM-A22J	851	199458	0.0042665623840608	MSS	THCA	
TCGA-EM-A22K	659	202124	0.00326037481941778	MSS	THCA	
TCGA-EM-A22L	533	188136	0.00283305693753455	MSS	THCA	
TCGA-EM-A22M	698	186582	0.00374098251707024	MSS	THCA	
TCGA-EM-A22N	598	177815	0.00336304586227259	MSS	THCA	
TCGA-EM-A22O	806	206101	0.00391070397523544	MSS	THCA	
TCGA-EM-A22P	755	209132	0.00361016009027791	MSS	THCA	
TCGA-EM-A22Q	737	202625	0.00363726095003085	MSS	THCA	
TCGA-EM-A2CJ	700	205465	0.0034069062857421	MSS	THCA	
TCGA-EM-A2CK	563	202690	0.00277764073215255	MSS	THCA	
TCGA-EM-A2CL	799	219093	0.00364685316281214	MSS	THCA	
TCGA-EM-A2CM	766	218903	0.00349926679853634	MSS	THCA	
TCGA-EM-A2CN	581	185051	0.00313967500851117	MSS	THCA	
TCGA-EM-A2CO	625	182632	0.00342218231197161	MSS	THCA	
TCGA-EM-A2CP	367	159140	0.00230614553223577	MSS	THCA	
TCGA-EM-A2CQ	713	223809	0.0031857521368667	MSS	THCA	
TCGA-EM-A2CR	572	193646	0.00295384361153858	MSS	THCA	
TCGA-EM-A2CS	760	203279	0.00373870394876008	MSS	THCA	
TCGA-EM-A2CT	521	184814	0.00281905050483189	MSS	THCA	
TCGA-EM-A2CU	440	146701	0.00299929789162991	MSS	THCA	
TCGA-EM-A2OV	877	238952	0.00367019317687234	MSS	THCA	
TCGA-EM-A2OW	937	242699	0.00386074932323578	MSS	THCA	
TCGA-EM-A2OX	609	194743	0.00312719841021243	MSS	THCA	
TCGA-EM-A2OY	922	232725	0.00396175743903749	MSS	THCA	
TCGA-EM-A2OZ	1050	208283	0.00504121795825872	MSS	THCA	
TCGA-EM-A2P0	839	242194	0.00346416509079498	MSS	THCA	
TCGA-EM-A2P1	746	225996	0.00330094337952884	MSS	THCA	
TCGA-EM-A2P2	820	234083	0.00350303097619221	MSS	THCA	
TCGA-EM-A2P3	870	233590	0.00372447450661415	MSS	THCA	
TCGA-EM-A3AI	815	231280	0.00352386717398824	MSS	THCA	
TCGA-EM-A3AJ	840	223978	0.00375036833974765	MSS	THCA	
TCGA-EM-A3AK	802	226704	0.0035376526219211	MSS	THCA	
TCGA-EM-A3AL	760	222681	0.00341295395655669	MSS	THCA	
TCGA-EM-A3AN	845	237087	0.00356409250612644	MSS	THCA	
TCGA-EM-A3AO	776	234507	0.00330906966529784	MSS	THCA	
TCGA-EM-A3AP	285	141672	0.0020116889717093	MSS	THCA	
TCGA-EM-A3AQ	896	231167	0.00387598575921304	MSS	THCA	
TCGA-EM-A3AR	913	219198	0.00416518398890501	MSS	THCA	
TCGA-EM-A3FJ	457	147989	0.00308806735635757	MSS	THCA	
TCGA-EM-A3FK	340	124597	0.00272879764360298	MSS	THCA	
TCGA-EM-A3FL	604	180420	0.00334774415253298	MSS	THCA	
TCGA-EM-A3FM	451	158632	0.0028430581471582	MSS	THCA	
TCGA-EM-A3FN	560	186019	0.00301044516957945	MSS	THCA	
